5,2,1,2,2,1,2,2,1,1,2,
10,7,7,7,7,7,7,7,7,7,7,
15,21,20,21,20,21,20,21,20,21,20,
20,47,47,47,47,46,47,47,46,47,47,
25,90,90,89,90,90,90,89,90,90,89,
30,153,153,154,153,153,153,153,153,154,153,
35,288,315,316,315,315,315,315,315,314,315,
40,463,462,473,463,462,462,462,463,462,463,
45,621,543,543,543,542,542,543,556,542,543,
50,732,733,733,741,732,733,732,733,732,734,
55,971,971,970,978,971,971,970,979,970,971,
60,1263,1255,1254,1254,1262,1254,1254,1261,1254,1254,
65,1607,1599,1606,1599,1598,1606,1599,1606,1598,1599,
70,1985,1979,1982,1978,1984,1978,1983,1978,1981,1978,
75,2464,2463,2461,2463,2465,2460,2462,2461,2462,2481,
80,2978,2983,2982,2982,2977,2979,2979,2978,2974,2977,
85,3516,3516,3516,3514,3515,3511,3513,3514,3513,3514,
90,4162,4160,4160,4159,4160,4160,4161,4160,4160,4158,
95,4882,4880,4880,4880,4885,4879,4881,4881,4883,4880,
100,5686,5688,5684,5688,5684,5684,5687,5697,5701,5687,
105,6649,6648,6632,6635,6730,6642,6644,6643,6647,6636,
110,7556,7560,7548,7549,7543,7545,7557,7548,7550,7548,
115,8612,8633,8636,8621,8615,8614,8636,8627,8622,8637,
120,9864,9862,9852,9856,9852,9854,9850,9851,9854,9851,
125,11035,11037,11038,11035,11033,11039,11035,11034,11030,11043,
130,12402,12424,12407,12397,12396,12397,12399,12395,12397,12396,
135,13869,13869,13866,13867,13869,13867,13885,13887,13882,13872,
140,15451,15449,15452,15450,15455,15455,15454,15449,15452,15454,
145,17197,17192,17184,17179,17186,17187,17174,17191,17201,17168,
150,18980,18985,18989,18983,18982,19000,19011,18985,18983,18983,
155,20983,20936,20934,20934,20937,20972,20937,20935,20933,20945,
160,23053,23053,23051,23051,23055,23052,23053,23059,23081,23064,
165,25222,25222,25250,25237,25224,25260,25247,25245,25225,25222,
170,27584,27619,27587,27579,27580,27584,27615,27622,27585,27579,
175,30059,30059,30129,30064,30100,30095,30066,30070,30057,30062,
180,32702,32703,32700,32749,32704,32735,32770,32721,32703,32745,
185,35498,35493,35497,35495,35515,35535,35528,35538,35493,35497,
190,38476,38495,38489,38463,38450,38491,38490,38483,38456,38451,
195,43583,43532,43542,43550,43503,43501,43534,43506,43522,43524,
200,45002,44934,44937,44958,44966,44901,44909,44911,44958,44906,
205,51483,51475,51495,51499,51492,51460,51455,51511,51454,51488,
210,52293,52284,52326,52326,52249,52279,52290,52317,52280,52330,
215,56042,56050,56026,56020,56006,56036,56037,56020,56010,56035,
220,60202,60138,60201,60143,60144,60140,60240,60143,60173,60141,
225,64222,64302,64254,64231,64262,64250,64316,64262,64220,64237,
230,68725,68752,68749,68741,68725,68746,68819,68744,68758,68715,
235,73634,73471,73454,73433,73458,73452,73434,73441,73444,73422,
240,78218,78266,78262,78279,78220,78228,78240,78209,78252,78232,
245,83337,83276,83303,83292,83375,83316,83277,83288,83277,83326,
250,88791,88834,88769,88834,88822,88913,88776,88768,88770,88771,
255,94230,94182,94150,94167,94168,94213,94162,94145,94227,94123,
260,100192,100143,100129,100105,100116,100112,100115,100080,100126,100262,
265,106412,106398,106420,106436,106400,106421,106375,106403,106460,106393,
270,112775,112791,112754,112738,112727,112789,112730,112774,112723,112715,
275,119306,119269,119323,119299,119292,119434,119321,119253,119246,119274,
280,125848,125782,125867,125803,125814,125755,125799,125898,125801,125807,
285,133083,133067,133061,133059,133107,133089,133073,133084,133017,133085,
290,140177,140248,140255,140238,140199,140207,140365,140217,140250,140283,
295,147814,147811,147860,147861,147780,147813,147850,147781,147778,147797,
300,155614,155610,156068,155634,155589,155546,155902,155623,155644,155642,
305,166417,166476,166606,166488,166528,166554,166493,166480,166602,166478,
310,172319,172264,172337,172316,182919,181530,172234,172255,172264,172324,
315,195019,195063,195040,195009,195035,195126,195022,194996,195041,195009,
320,206662,206688,206728,206707,206660,207138,206601,206736,206707,206689,
325,199345,199300,199489,200651,199600,199392,199419,199423,199464,199411,
330,209102,209043,209149,209021,209048,208971,209118,208897,209011,209143,
335,219507,219600,219443,219496,219608,219493,219469,219497,219618,219465,
340,236623,236599,236660,236642,236706,236647,236708,236602,236710,236683,
345,242101,242122,242029,242011,242061,242056,242033,242013,242017,254691,
350,251732,251720,251777,251788,251756,251695,251730,252101,251935,251912,
355,266908,266816,266731,266735,266933,266637,266696,266696,266717,266709,
360,274982,274863,275027,275035,274823,275082,275007,274925,274883,275022,
365,293265,293175,293383,293278,293202,293253,293325,293209,293246,293297,
370,299805,299856,299817,299817,299923,300129,299977,299834,300107,300089,
375,315882,315911,315874,315860,315810,315740,315890,315942,315811,315858,
380,328786,328707,328654,328735,328689,328591,328815,328593,328617,328723,
385,341159,341313,341163,341467,341543,341625,341464,341602,341377,340875,
390,368443,368418,368441,368411,368477,368610,368612,368322,368495,368461,
395,372948,372937,372676,372743,372645,372694,373075,372997,373105,373012,
400,387453,387660,387508,387539,391030,387633,387686,387627,387577,387560,
405,403851,403832,403674,403588,403664,403633,404199,404168,403847,404036,
410,436092,436126,435997,436079,435994,436028,436111,436029,436076,436003,
415,437946,437623,437476,437517,437508,437475,437603,455786,437827,437592,
420,456918,456343,456421,457476,456582,456187,456488,456297,456348,456233,
425,472470,472672,472607,472835,472647,472738,472365,472754,472519,472472,
430,490536,490730,490418,490408,490526,496925,490402,490334,490626,491722,
435,508791,508675,507850,507565,507740,507565,507601,507912,507345,507611,
440,526633,526734,526830,527065,526985,527049,526929,529133,527099,526942,
445,546353,546413,546378,546449,546394,546115,546335,546108,546427,546360,
450,564728,564793,564645,564777,564694,564709,564687,564650,564845,564675,
455,601481,601484,601408,601698,601350,601574,601654,601392,601576,601443,
460,606270,606209,606287,606309,606107,606146,606332,606317,606275,606101,
465,624839,624749,625088,624875,624871,624959,624957,625149,625062,625283,
470,650784,650634,650860,650429,650508,650543,650418,651649,650770,651161,
475,673895,674323,691395,673984,673835,673694,673503,673485,673961,673694,
480,708643,708792,708866,709018,709118,708894,716443,709022,708934,709123,
485,725917,726100,725927,725912,725937,725868,725965,725904,726038,725891,
490,745638,745534,745568,745583,745431,745545,745317,745384,745472,745480,
495,769068,769330,769170,769059,769034,769008,769178,769085,769213,769261,
500,795846,795992,795924,795658,795601,795656,795902,795818,795653,795572,
